holo_food_id	ena_sample	ena_run	ena_experiment	project	omics
CC01.18F1a	ERS10992050	ERR9286171	ERX8828284	Chicken HostG	HostGenomics
CC02.09F1a	ERS10992057	ERR9353520	ERX8895453	Chicken HostG	HostGenomics
CC02.12F1a	ERS10992059	ERR9285600	ERX8827777	Chicken HostG	HostGenomics
CC02.16F1a	ERS10992062	ERR9354049	ERX8895982	Chicken HostG	HostGenomics
CC02.17F1a	ERS10992064	ERR9353461	ERX8895394	Chicken HostG	HostGenomics
CC03.02F1a	ERS10992066	ERR9353258	ERX8895191	Chicken HostG	HostGenomics
CC03.07F1a	ERS10992070	ERR9288679	ERX8830329	Chicken HostG	HostGenomics
CC03.15F1a	ERS10992078	ERR9353456	ERX8895389	Chicken HostG	HostGenomics
CC04.06F1a	ERS10992081	ERR9286937	ERX8829042	Chicken HostG	HostGenomics
CC04.08F1a	ERS10992083	ERR9353225	ERX8895158	Chicken HostG	HostGenomics
CC04.09F1a	ERS10992085	ERR9288522	ERX8830172	Chicken HostG	HostGenomics
CC04.10F1a	ERS10992087	ERR9288508	ERX8830158	Chicken HostG	HostGenomics
CC05.02F1a	ERS10992093	ERR9286258	ERX8828363	Chicken HostG	HostGenomics
CC05.03F1a	ERS10992095	ERR9357253	ERX8899155	Chicken HostG	HostGenomics
CC05.07F1a	ERS10992099	ERR9353523	ERX8895456	Chicken HostG	HostGenomics
CC05.15F1a	ERS10992104	ERR9288325	ERX8829975	Chicken HostG	HostGenomics
CC06.05F1a	ERS10992108	ERR9356880	ERX8898782	Chicken HostG	HostGenomics
CC06.09F1a	ERS10992111	ERR9353482	ERX8895415	Chicken HostG	HostGenomics
CC06.13F1a	ERS10992113	ERR9356881	ERX8898783	Chicken HostG	HostGenomics
CC06.17F1a	ERS10992115	ERR9352828	ERX8894761	Chicken HostG	HostGenomics
CC07.04F1a	ERS10992118	ERR9288354	ERX8830004	Chicken HostG	HostGenomics
CC07.05F1a	ERS10992120	ERR9353239	ERX8895172	Chicken HostG	HostGenomics
CC07.06F1a	ERS10992122	ERR9352832	ERX8894765	Chicken HostG	HostGenomics
CC07.07F1a	ERS10992124	ERR9352854	ERX8894787	Chicken HostG	HostGenomics
CC07.10F1a	ERS10992126	ERR9285740	ERX8827853	Chicken HostG	HostGenomics
CC07.14F1a	ERS10992130	ERR9286945	ERX8829050	Chicken HostG	HostGenomics
CC08.01F1a	ERS10992133	ERR9353245	ERX8895178	Chicken HostG	HostGenomics
CC08.06F1a	ERS10992137	ERR9357012	ERX8898914	Chicken HostG	HostGenomics
CC08.12F1a	ERS10992141	ERR9353459	ERX8895392	Chicken HostG	HostGenomics
CC08.13F1a	ERS10992144	ERR9286201	ERX8828306	Chicken HostG	HostGenomics
CC09.04F1a	ERS10992151	ERR9288465	ERX8830115	Chicken HostG	HostGenomics
CC09.09F1a	ERS10992153	ERR9286240	ERX8828345	Chicken HostG	HostGenomics
CC09.10F1a	ERS10992155	ERR9289845	ERX8831487	Chicken HostG	HostGenomics
CC09.12F1a	ERS10992157	ERR9288520	ERX8830170	Chicken HostG	HostGenomics
CC09.13F1a	ERS10992158	ERR9285414	ERX8827591	Chicken HostG	HostGenomics
CC09.16F1a	ERS10992161	ERR9286996	ERX8829101	Chicken HostG	HostGenomics
CC10.06F1a	ERS10992166	ERR9288334	ERX8829984	Chicken HostG	HostGenomics
CC10.10F1a	ERS10992169	ERR9353187	ERX8895120	Chicken HostG	HostGenomics
CC10.14F1a	ERS10992172	ERR9353941	ERX8895874	Chicken HostG	HostGenomics
CC10.16F1a	ERS10992174	ERR9353848	ERX8895781	Chicken HostG	HostGenomics
CC11.02F1a	ERS10992178	ERR9288674	ERX8830324	Chicken HostG	HostGenomics
